epoch,split,loss,acc,macro_f1,ece,energy_mean
1,train,0.5920720499338983,0.6804863562873263,0.6699198194453488,0.0,14016.042642984237
1,validation,0.6601080225323731,0.6233110616184113,0.6228321206552601,0.08890650131654633,977.2493896484375
2,train,0.4503310820881576,0.7910218761342264,0.7874431650428131,0.0,859.8268374250066
2,validation,0.7012070175611748,0.6666666666666666,0.6665901944794888,0.13883476085634522,904.8875122070312
3,train,0.3657660348938173,0.8404494011284521,0.8379356607320131,0.0,8530.382888196196
3,validation,0.6908240194590587,0.6528582034149963,0.6513497837302898,0.14139785384282239,502.9442443847656
4,train,0.3152274588036512,0.8677368264757317,0.8659339750817966,0.0,3017.13925663938
4,validation,0.7476164586139176,0.6466221232368226,0.6408338038772821,0.17502540126055727,634.0147094726562
5,train,0.27290765453868776,0.8874682416603425,0.8859528671819557,0.0,2391.637252287906
5,validation,0.7641061325118227,0.6708240534521158,0.6703327528488358,0.1793134738005969,753.7211303710938
0,test,0.9565368124416896,0.6272935779816514,0.6093270748468118,0.2338220166777252,1843.4102783203125
