epoch,split,loss,acc,macro_f1,ece,energy_mean
1,train,0.5870655256358883,0.6869700069290923,0.6770641467242292,0.0,695.7143895347191
1,validation,0.6517653352809403,0.6561247216035635,0.6525091106235003,0.09668287193677827,162.20657348632812
2,train,0.43610919127044295,0.8005081334345201,0.7970091782330457,0.0,307.0994292505462
2,validation,0.8198292485947879,0.622271714922049,0.6127331036682524,0.19357643938099978,105.03593444824219
3,train,0.35266379630075223,0.8491437621671561,0.847031932781362,0.0,266.737469693044
3,validation,0.7114033507850935,0.6782479584261322,0.6782272731391539,0.14591668135339275,62.1121940612793
4,train,0.29400601365332363,0.8777015211007358,0.8760517581815794,0.0,235.45224400841383
4,validation,0.6769991727932444,0.6908685968819599,0.6906300981510176,0.12970670073140347,37.53483963012695
5,train,0.24858970419829907,0.8994621704556703,0.898143804231768,0.0,237.97105081359797
5,validation,0.7575101610624565,0.6717149220489977,0.6693129621272789,0.16733304666605542,23.03712272644043
0,test,0.8556633421352932,0.6662844036697247,0.6585789191131061,0.18864232363230593,54.95049285888672
