epoch,split,loss,acc,macro_f1,ece,energy_mean
1,train,0.5921104381859051,0.6809153000956875,0.670354905493374,0.0,8425.956927035144
1,validation,0.5917783624158716,0.6779510022271715,0.6777156562472415,0.04533706206963871,870.7590942382812
2,train,0.449561785419279,0.7931171016596826,0.7895623479908929,0.0,794.7930997621381
2,validation,0.5641496175864957,0.7348181143281366,0.7332827277455445,0.07578387156892193,851.9132690429688
3,train,0.3656572758255503,0.8405153924835846,0.8379972792022536,0.0,5517.13659827054
3,validation,0.5343274724371029,0.7352635486265776,0.7351491074505478,0.050346512031625955,3254.9921875
4,train,0.31740986609257726,0.8658230771768898,0.8639119667531638,0.0,41630.06692557691
4,validation,0.5722415913950722,0.7432813659985152,0.742915714157383,0.10260782261291256,25355.7421875
5,train,0.2730102720532865,0.8879796746626192,0.8864812348835409,0.0,11887.062143282632
5,validation,0.5667699687885788,0.7587230883444692,0.7584559001470071,0.10514952881564543,574.2852172851562
0,test,0.8198757810252053,0.6892201834862385,0.6824851697334919,0.19146884143899345,1495.77978515625
