epoch,split,energy_mean,energy_log_mean
1,train,471.866498125581,5.520539964243444
1,validation,30.44017791748047,1.9333374500274658
2,train,427.9821509450087,5.5350029753186645
2,validation,35.76060104370117,1.6964092254638672
3,train,433.5446945925832,5.501814307086286
3,validation,185.16061401367188,1.9313650131225586
4,train,393.5123378661913,5.478659896439007
4,validation,170.1029510498047,1.5970722436904907
5,train,368.46027096866385,5.445969834802008
5,validation,1.703830599784851,0.44141680002212524
0,test,4.544977188110352,0.9024819731712341
