epoch,split,loss,acc,macro_f1,ece,energy_mean,energy_log_mean
1,train,0.6078644615894699,0.6617860560266605,0.648362333753543,0.0,471.866498125581,5.520539964243444
1,validation,0.5227867769745161,0.7431328878990349,0.7422642214946316,0.027864716640648008,30.44017791748047,1.9333374500274658
2,train,0.4812369896180084,0.7670587653017454,0.7628169579104216,0.0,427.9821509450087,5.5350029753186645
2,validation,0.48857101826172955,0.7753526354862658,0.7751082900706034,0.04990376635843858,35.76060104370117,1.6964092254638672
3,train,0.4463897844509576,0.7902877223083776,0.7871538209465407,0.0,433.5446945925832,5.501814307086286
3,validation,0.4670503575284526,0.7798069784706756,0.7797967062515767,0.03296899404362917,185.16061401367188,1.9313650131225586
4,train,0.432616405706193,0.7987882337413799,0.7956115010355078,0.0,393.5123378661913,5.478659896439007
4,validation,0.4957972354484054,0.7763919821826281,0.7695923017385838,0.05909631754082932,170.1029510498047,1.5970722436904907
5,train,0.4259383471927973,0.8032137789949516,0.8001516422036528,0.0,368.46027096866385,5.445969834802008
5,validation,0.4578498419163362,0.7980697847067557,0.794932810248864,0.04719897632520997,1.703830599784851,0.44141680002212524
0,test,0.5181650242635182,0.7706422018348624,0.7704683288409703,0.0548905251086305,4.544977188110352,0.9024819731712341
