epoch,split,loss,acc,macro_f1,ece,energy_mean
1,train,0.5920615836286344,0.6813442439040486,0.670798045582158,0.0,2895.436819502603
1,validation,0.5290718567821214,0.733630289532294,0.731900411524533,0.00759406708396624,933.3413696289062
2,train,0.45188515982295896,0.7905104431319497,0.7869627563624905,0.0,176206.2179755211
2,validation,0.46377573963606133,0.7870824053452116,0.7860448933129855,0.032287328280425576,669.5541381835938
3,train,0.36462670299794353,0.8411753060349094,0.8387172399876374,0.0,2262.3572523029147
3,validation,0.42997070247272273,0.7989606533036377,0.7988185452124004,0.00801739109474016,1679.6690673828125
4,train,0.3143817482492592,0.8692051341274293,0.8673803939024676,0.0,935.0465482080624
4,validation,0.4143035875738792,0.8136599851521901,0.8135625087498466,0.03491815675517412,426.64166259765625
5,train,0.27059573160665196,0.8889035536344739,0.8874501531656904,0.0,2221.4505926279408
5,validation,0.40848791528985184,0.8252412769116555,0.824815583981976,0.043547017103491126,1936.848388671875
0,test,0.6184026833091464,0.7522935779816514,0.751602335849594,0.12351055333920577,5495.703125
