epoch,split,loss,acc,macro_f1,ece,energy_mean
1,train,0.5870909533357318,0.6869370112515261,0.6770416560542393,0.0,695.599177847819
1,validation,0.5224075382048229,0.7373422420193022,0.7288192453558631,0.046772249716692894,122.62997436523438
2,train,0.4367745611738052,0.7997822285280628,0.7962938495263788,0.0,296.6199974835157
2,validation,0.5490525817533709,0.7449146250927988,0.7437138774543219,0.06579744578646834,54.444915771484375
3,train,0.3534097174882009,0.847477480450061,0.8452767536652794,0.0,250.53311040008356
3,validation,0.4151299650657852,0.8100965107646622,0.8098469319086957,0.025467822466767445,35.61162185668945
4,train,0.2969979318684038,0.8770911010657604,0.8754393452739692,0.0,226.0182611861342
4,validation,0.4043657789533993,0.828656273199703,0.8275517851193344,0.038148030751532086,30.663530349731445
5,train,0.25108119771513254,0.898587785000165,0.8972158020487653,0.0,222.98789559295815
5,validation,0.3856184703280341,0.8400890868596882,0.8395510762722409,0.035853819025828404,28.87841033935547
0,test,0.5393893633569989,0.7706422018348624,0.7706228956228955,0.09686683507960869,77.75289916992188
