epoch,split,loss,acc,macro_f1,ece,energy_mean,energy_log_mean
1,train,0.5822258062698055,0.6819051704226746,0.6702683762351067,0.0,319.9045139956813,5.40603630504063
1,validation,0.44102420306430673,0.8001484780994803,0.7966046774523006,0.013308912369615506,10.745427131652832,1.8800793886184692
2,train,0.43665849690183733,0.7948205035140397,0.7914201488628074,0.0,306.7411908319577,5.408132154366881
2,validation,0.37514528041740636,0.8394951744617669,0.8371513138518734,0.03529495317668675,14.753111839294434,1.870145320892334
3,train,0.37766751338668536,0.830299105817138,0.8276846388390426,0.0,304.96247577267997,5.403279176093888
3,validation,0.3402601181055015,0.8567186340014847,0.8557707319024949,0.028739669204377725,4.154226779937744,0.8564122319221497
4,train,0.34882135534701797,0.8461535288877157,0.8438058284626868,0.0,296.1641696849527,5.374110517451103
4,validation,0.34606257320012684,0.8568671121009651,0.8540543092208785,0.03741955987240707,2.6314144134521484,0.6182190179824829
5,train,0.3400484840637557,0.8507316791500313,0.8485798708109996,0.0,304.6065865332832,5.402226601307621
5,validation,0.3317896622531819,0.8631031922791388,0.8626402382763296,0.02720208481319232,0.9039633274078369,0.29543617367744446
0,test,0.5276137867144176,0.801605504587156,0.8015300718989073,0.09567362015400457,2.791818141937256,0.7215571999549866
