epoch,split,energy_mean,energy_log_mean
1,train,319.9045139956813,5.40603630504063
1,validation,10.745427131652832,1.8800793886184692
2,train,306.7411908319577,5.408132154366881
2,validation,14.753111839294434,1.870145320892334
3,train,304.96247577267997,5.403279176093888
3,validation,4.154226779937744,0.8564122319221497
4,train,296.1641696849527,5.374110517451103
4,validation,2.6314144134521484,0.6182190179824829
5,train,304.6065865332832,5.402226601307621
5,validation,0.9039633274078369,0.29543617367744446
0,test,2.791818141937256,0.7215571999549866
