epoch,split,loss,acc,macro_f1,ece,energy_mean,energy_log_mean
1,train,0.6822590745668922,0.5675050318408289,0.4590333744673282,0.0,371.95705366394543,5.532763826619185
1,validation,0.6889020603782726,0.5480326651818856,0.35401879915595624,0.0008108378164664032,7.970485285113682e-07,7.970478463903419e-07
2,train,0.6869775711719264,0.5589509024317815,0.38406940033240594,0.0,406.5628261314574,5.680960392090871
2,validation,0.6891655708259007,0.5480326651818856,0.35401879915595624,0.009236252378691745,2.3701265945419436e-06,2.3701122700003907e-06
3,train,0.6873118656076143,0.5588766621572574,0.3588132546516292,0.0,407.7306311419603,5.67456390725917
3,validation,0.6891599533692846,0.5480326651818856,0.35401879915595624,0.012832963395844388,3.9671106399907785e-09,3.9671070872771e-09
4,train,0.6871005821806927,0.5586993103903388,0.3596737114904938,0.0,417.12659130829496,5.689682286947632
4,validation,0.6895273327827454,0.5480326651818856,0.35401879915595624,0.01623401648925693,1.8824795888772172e-11,1.8824795888772172e-11
5,train,0.6869921406928138,0.5588972844557363,0.3585295188578352,0.0,422.4882834155454,5.6909454124911765
5,validation,0.6899066348120851,0.5480326651818856,0.35401879915595624,0.02013406760620029,1.4310673306094923e-11,1.4310671571371447e-11
0,test,0.7000782319477626,0.5091743119266054,0.33738601823708203,0.05899242086148049,2.7878607408715617e-11,2.7878607408715617e-11
